nHBint10,ATSC8s,ATSC5i,ATSC3s,ATSC4s,ATSC5s,ATSC6s,ATSC7s,AATSC1m,ATSC2i,AATSC5m,AATSC6m,AATSC7m,AATSC0v,C1SP2,MDEC-22,ATSC4i,ATSC1i,ATSC4m,ATSC4v,ATSC6m,ATSC7m,ATSC8m,ATSC1v,ATSC2v,ATSC3v,ATSC5v,ATSC0i,ATSC6v,ATSC7v,ATSC8v,R_TpiPCTPC,C1SP3,ATSC6p,MDEC-13,AATSC6v,nAtomLAC,EE_Dzs,VE3_Dzs,minHBint6,minsF,minssO,mindO,minsOH,SpMAD_Dzs,nAtomLC,SpAbs_Dzs,minHBint10,VR1_DzZ,VE3_DzZ,EE_DzZ,SpAbs_DzZ,VR1_Dzs,minHBint5,BCUTw-1h,maxHBint2,maxHBint3,maxHBint4,maxHBint6,minHBa,SaasC,LipoaffinityIndex,fragC,SHBint4,SHBint3,SwHBa,ZMIC1,ZMIC2,ZMIC3,ATSC5m,ATSC7i,ATSC3m,VR3_Dt,AATS4v,AATS5v,AATS6v,AATS7v,TopoPSA,AATS8v,VE3_Dt,VR1_D,AATS0i,AATS1i,AATS2i,AATS3i,AATS4i,AATS5i,AATS3v,VE3_D,AATS7i,AATS4m,AATS1m,AATS2m,AATS0m,ATS4s,ATS3s,AATS3m,ATS0s,ATSC2m,ATS1m,ATS0m,AATS7m,AATS8m,AATS0v,nHBint2,AATS6i,VR1_Dt,AMR,AATS8i,EE_Dt,SpMAD_Dt,ATSC1m,nFRing,y_label
17.0,85.92714229092351,-6.655040605245301,-50.16899061963279,-149.04803937111805,178.71042674065347,-2.4799603646451365,-84.65612762584203,-0.164910227486615,-17.959411154811267,1.7794124153203683,-0.980112800623632,-1.0868986034106838,47.43235445108207,10.0,14.425629155349473,18.169017671940445,-21.64468301591168,-1142.762040469007,-55.50988606971492,-507.6984307230414,-621.7060011509111,951.9725701952028,42.91905427119724,-143.49057848941692,-1245.5682186236495,88.46947512592916,200.63647756397907,-582.1447188054184,-874.2887891223968,688.0128824928282,1.9946735395189004,8.0,-0.6286689092166305,29.18104438752032,-1.1238315034853636,7.0,709.782712893384,-10.925507076321043,0.2846108005866688,0.0,5.81176754960798,12.50263142002641,10.160084123422152,20.53029505404747,11.0,1452.065081127753,0.5968860581949182,1729.6696725177935,-10.44619916832293,643.3489032181787,1282.2692350077873,2174.4988788175524,0.289668196735619,16.006125208773753,5.201056854034077,5.269156843554875,4.912313789091827,5.498141176077166,0.8596251993755759,1.0657698759578549,7.879531463140348,214.22,11.339186326078458,36.807834004240185,10.24450414167534,101.77813139501008,55.98744858180857,37.469024890440025,848.7797221078158,-10.353290579837427,-720.9639585214832,50.53680261393685,158.71685934804216,159.6225448752832,158.61469433226506,154.8643638335212,340.64,149.9844619269404,-44.27453019531824,3157.5066869876614,167.13548797196108,150.78851730835686,157.78327927861324,162.0353461014796,165.065678648664,164.0704332328524,171.91810639481196,-8.042818230449388,164.17792145379667,52.23865954279288,84.858247671233,68.78079301158309,83.98418735862046,1464.7222222222235,1182.111111111111,57.96662854644815,836.4166666666667,793.2433754936385,12389.304160000018,12177.707166999966,50.41980737937082,50.59785473990321,193.6714229613448,14.0,163.96443891255126,1233.8066703284385,223.2686,165.68385606187485,709.782712893384,46.88177840607053,-24.0768932130458,0.0,1
5.0,56.85344381300629,10.328815049421056,-5.946653845467854,-25.451914361477336,-0.3449301647438128,-71.01133056376288,-38.62226623227384,4.330708966559523,28.87167037658323,0.7271361217893622,-3.9496903775275976,0.4977254905008652,48.586177339623205,3.0,10.855459695063162,-2.1230403096503228,-26.301399777406537,-971.3008462616632,-1130.3503016907198,-2227.625372925565,285.6944315474966,338.57684052958143,-29.9165078973562,1228.3853141122986,-2149.8129813632177,220.358354852016,197.4510333090614,-1876.073738033328,-30.2788417715958,683.9112526732162,2.0367226368159206,11.0,-0.0372640545483434,26.50897347999245,-3.326371875945616,15.0,709.782712893384,-20.11181402920566,0.2602726343990282,0.0,5.113078692155662,12.62855970316484,10.288152345348722,26.805056080287567,25.0,1872.3447831378985,0.6948629671758104,1832.200771012832,-10.086834472210594,709.782712893384,1567.2938987317502,50502.62661240587,0.3118316082813959,30.97376551777557,4.5354147203813495,3.996959829423725,3.79331923306849,2.3084836702174374,1.6680780038803529,0.920831531570387,8.28580300390937,354.2,12.754199235299636,15.428993227750029,18.86337491861009,88.70419725025889,47.77349149424783,36.99823570156424,400.65200310593855,-22.009784375319384,-1110.5995322264205,50.96989477491779,150.307326820573,144.8758960693716,142.29786875286456,137.11938417776415,296.8,136.0742870800155,-8.347066806068948,1663.7010159064084,165.92548227746815,147.78673614447086,157.34735884513717,157.78241453084306,162.99582945662362,163.97017624443865,176.81114523090065,-9.72133235683765,164.4982287948887,49.63068568279935,90.2553720846538,69.38477659703952,85.2926183935934,1470.274434156377,1158.50591563786,59.91227222417774,708.2777301478432,973.0270405023894,13809.07192895203,12879.185377432605,43.85377666933462,44.15628381643829,188.8047945065592,7.0,164.04747303505889,1453.0405039619932,244.0526,165.44304524897976,709.782712893384,31.193929983996583,662.598471883607,0.0,1
11.0,11.215064457155597,-0.0562742891368659,-47.97281069290476,-118.41573099828142,127.4947174948406,27.36990090153692,-6.790628015912397,-0.2071613489490889,-4.527013056511441,0.6801350517271753,0.5268715144335997,0.3320775133193192,47.62588317197016,7.0,14.737333301733404,15.54049504881976,-14.913038633380674,-1391.2084621259864,-697.2804845839373,229.18910877861583,156.07643126008,326.1949535742546,69.57619125979738,-102.78839663837402,-738.753430427644,-314.6463027554929,165.80501580496167,201.73965816267665,-734.7616551409864,174.45900989673964,2.1471185064935066,6.0,1.7682659443685396,18.701341868365912,0.4637693291096014,7.0,529.0430626724399,-6.04697341963284,0.4086639621381175,0.0,5.787594133088401,12.309122968344823,10.012204987192238,17.982160454199136,11.0,1055.9051632118794,0.9053773806453398,1460.457314168509,-5.907011857225975,472.5888307605428,941.5348043782288,1502.8491667147755,0.3215248173964882,16.004059297568244,5.470567498867127,5.098107035428136,5.612900512955466,5.858776900201759,0.9288204025416448,1.095440281677789,7.120638946590406,178.18,12.434020888115844,25.32955930595681,10.478382143707233,79.98763003114041,43.9173995771984,33.76131706056576,272.7341557425973,-12.94726445642554,-455.79398081111367,39.0939267033783,164.94748971416553,159.81393564505746,157.73578951970583,157.76042964651447,282.44,150.39648957322896,-28.508442949635,2484.93242836695,166.70639564411692,150.50237162802242,157.3631423996841,161.18687347007304,163.80322968249666,163.50178086744265,176.309349199964,-4.827251237328417,163.24648467125385,54.40188159217883,85.77429983333339,69.53463812796214,84.91631263025187,1194.1666666666663,942.0277777777771,59.57692932203393,685.7777777777777,564.2745135863184,10292.915980000009,10105.041202999972,51.99561650851079,50.49241431201563,196.1314184285318,12.0,163.6132787805903,754.525648570268,183.0256,165.35331435574744,709.782712893384,36.69602565978941,-24.85936187389067,0.0,1
5.0,16.608949652777728,-9.68121692491491,-32.9087717013891,66.26585937499989,-9.943658854166744,60.2051128472221,32.61835069444445,0.9082667302776606,-9.517245031201751,-1.0457080352622474,-0.5906880683270591,1.930065964791064,48.55233843833059,3.0,7.836977035071798,-3.4002950045627287,-7.783808796267442,-1126.0247895572384,-1142.594991678037,-261.0841262005601,872.3898160855608,-284.5132282550028,4.853659941284533,425.56694209260974,-1010.450283157982,-403.8146858298746,147.97278848343905,-675.266650892949,887.2929556137536,-403.1464511084155,1.2481536189069424,9.0,-1.1437219640590013,23.838488817546384,-1.5277526038302014,13.0,578.1939134397537,-16.173019453456114,0.8368969217875204,0.0,4.487860232081417,11.661580290705189,10.473133003944932,21.44905055149579,26.0,1153.100317070257,0.7335494413892759,925.8687997726774,-19.95436060444052,518.2808303431148,1033.4557327698612,790.8516965473822,3.997538309610567,16.00704916190873,0.0,0.9005771371989338,4.395859026132367,2.0960353188128806,4.487860232081417,0.0,7.691783191141051,274.13,16.677321225454623,0.9005771371989338,-3.411414334687892,88.8153964022061,53.0291380330743,37.15558549600778,-448.6087471275041,10.382324532357014,-410.1096492447339,36.28720026533264,144.30984501510224,138.47081423794012,135.271930660872,131.12404750264096,192.19,135.23562766628206,-6.674219869644528,882.8260459682491,165.1166695726909,145.74294081058306,155.00167597376486,158.98575354296912,162.9604818101956,163.31214455766948,164.29884994739277,-21.88377949557584,164.41696280694066,44.7447648694582,79.93537639344278,63.99245099141645,77.57894331666643,1269.3333333333328,936.9027777777784,53.22997173111795,586.8680555555554,984.658749971375,9752.115920000018,9309.47319799997,37.54249662168143,38.789188347032,185.24000170583727,0.0,163.7462067851102,828.6947735154084,188.4894,163.5604692989306,704.3792314358345,26.088119682808674,110.8085410938746,0.0,1
5.0,14.544784580499044,6.600037389869343,-36.75056689342412,-100.8231292517004,123.48696145124777,25.56802721088417,-4.505102040816247,0.1373087417380026,-10.97391491763178,0.0266953717260666,0.0280239113639488,-0.6452726485496311,48.49084138573645,7.0,10.88776438388472,20.640841467959177,-17.536619855180543,-1075.073384269547,-432.18587402170704,11.601899304674838,-292.3085097929829,660.7509536640529,-19.790681879972524,290.6537536059347,-1011.8877629723968,-400.7426359592199,152.88740309459436,64.44519114018064,-1509.1992889034473,418.0566374696474,2.2059721011333915,7.0,1.8799727417601664,25.2795623499074,0.155664712898987,7.0,479.5122893634285,-5.715524183706417,0.4272018019619487,0.0,5.779779131073605,12.243011862737749,9.9624255821648,17.49165391813357,11.0,957.8560618877888,1.1739375079090155,1194.9156950655572,-5.595874128582406,417.2392572589445,831.2642288036038,1307.1269749355167,0.3267304685132695,16.004041191277853,5.548446768302849,5.040600364154827,5.526655402115869,5.935057000644515,0.9463627374129008,1.1121789538181517,8.419025126988544,166.15,12.23095267890081,24.99719555557499,11.298233106964611,79.86164221203664,46.10526727711116,34.69211828211483,10.22432737108354,-35.04913121741594,-313.4934294101689,35.024405522971016,164.50106997652054,160.93255601528213,159.42096770130996,157.4519339146159,220.54,144.65541278278013,-22.81205688199217,2208.4944873473314,165.3820855451534,148.39123288964942,156.52767307777034,159.34316707408496,163.7415777104136,163.04911579252467,179.84904499292463,-4.642060794056423,162.0404997078144,54.46990118443809,84.73977465486735,68.73698462189058,83.65304234821404,1167.2222222222215,892.9999999999994,60.82575341577068,635.7777777777777,751.7403392226468,9575.59453600001,9369.140742999973,50.2665124988964,47.21230465810291,197.25828694900108,6.0,162.48791951580475,582.933859544641,175.55829999999995,165.3581169015212,709.782712893384,35.66607658458872,15.515887816394295,0.0,1
1.0,-44.61434955111175,-4.96121313192086,-34.22508509442127,-46.17924479294392,55.06268046636075,46.055487126667046,-41.53683662873145,14.322183459529814,16.9114286321498,-3.4648496942308613,4.879416101014083,1.3787685390992133,48.36757212874573,1.0,10.26238175393545,-21.113970613794883,-19.93364124883385,-454.2426640975185,-169.49501303864332,644.082925333859,147.5282336836158,-410.1978235573658,116.2702677494386,-25.662456628488822,-257.4813399753382,-898.0412292918513,103.8760395766428,497.8355315259349,434.9082991996133,-666.8653741035698,7.397598288062588,3.0,1.7217095850844455,0.0,3.771481299438901,0.0,253.073059134432,0.1397082510744661,4.991566290474059,15.41878487540279,0.0,11.571529546009094,10.301291979332689,16.655281895083135,2.0,517.4094228510489,0.9217437279841144,369.74947565037263,-4.710560380098915,124.02573541606114,246.9869528901935,501.8128662105267,0.8216443331260816,31.97307414739295,6.878238983634196,0.2845537879464119,6.651142056728007,4.991566290474059,0.6596571843460373,-1.2183113562959391,5.12592256463339,295.12,6.651142056728007,0.2845537879464119,4.822017238079147,47.41187721550557,33.37756211004378,31.590333437788644,-478.14925780385886,13.50752271266641,-1076.081140207182,19.110267403763675,193.78262790639727,186.4640952407744,167.12899837608745,182.1319738861556,140.85,193.15473743907145,-7.082557304225078,490.8731195103057,164.15857418980747,145.49087083295728,155.08552531553843,157.46645069555075,161.2698535305498,162.1945192757729,208.6825261515936,-5.51777164175285,163.0553939792297,83.2439324025014,149.57959626973093,112.95980993670403,143.1835736499957,675.6265432098766,500.28549382716056,89.48150110543284,431.96004801097394,243.49065995090044,8226.877794835202,7302.362256149781,73.8214291136449,82.78909347220868,236.61532710828465,4.0,163.44132348600638,475.61199644515415,62.08370000000001,159.46568195370858,327.8096022251118,21.1490065951685,787.7200902741398,1.0,1
0.0,-8.252914951989009,34.092850077284,-53.286436899862814,10.585133744855916,71.5812757201646,12.916237997256513,-21.905864197530853,9.042753852467568,17.532170867992985,2.41760925735454,-2.367884853697078,-4.398173237272216,47.20100322704194,1.0,6.877219369774333,-31.954482340623912,-15.129297791671718,1269.980601067449,407.0006670348311,-208.37386712534288,-369.4465519308662,27.87749721131032,35.76056811182082,552.5432139077058,-1121.6293425142392,505.2486845598512,93.76274269745682,-73.14171883217234,-822.0277563680893,35.797383777246765,8.345319855673935,4.0,1.0638346173123032,1.7146477942842662,-0.8311558958201403,4.0,166.24251466871493,-3.165423185905135,5.335080887864995,15.118189687146668,5.591060261295876,11.4648308427994,10.172318131453682,12.18773117551007,8.0,341.03944657167733,0.0,356.92574145872135,-1.670370529608163,114.6862052728655,228.26502011336905,714.2688294194015,0.8756106437114836,31.97483214814757,6.9977454275921565,0.2962599333038128,7.035146524614547,5.335080887864995,0.6366482706106624,-1.7125564022734374,5.433918589553677,144.1,7.035146524614547,0.2962599333038128,5.855302606913481,39.2842421479026,31.30456384328569,29.79329508169321,256.26658127958126,-24.80187636246428,-739.3048477648277,18.7534250626551,176.04089169768972,183.2308445722186,196.2941640469696,193.8831446979769,128.11,166.47571435713058,-6.3832446726613234,320.2661397346409,164.84079414215395,146.57908142712188,155.10734342063893,156.1436588723387,164.73588514499414,168.12605914478513,212.252097262995,-3.113624300080541,157.1644508425562,79.44806274318697,130.62983995489995,105.82171431750469,127.65770448151692,587.3919753086423,453.8441358024693,86.85387805520718,381.6119684499314,575.3909255331212,6270.232317835198,5872.254406149778,73.90057777007614,63.01628345513412,234.09846256913744,4.0,160.50003119508713,810.5003784350001,57.18860000000001,164.66083862823604,275.1901448409908,19.65643891721363,434.0521849184432,1.0,1
1.0,-4.999226490764771,13.741784220002812,-34.55288828372755,34.999722864010806,64.07622682105897,19.128452328396108,-9.071229054353712,8.88303005421626,3.786627238790323,-3.701264209496649,-2.7156945376685884,2.4956002047698176,46.75166182208237,3.0,10.13100067918777,-32.91419107097146,-10.774774518564804,946.5751800406658,308.6646446835287,-263.4223701538531,209.63041720066468,-140.83555029429658,84.80676542331491,-66.48333346750063,-77.94361864785263,-278.74343287767124,97.6743871725312,-323.8377024948927,172.71960199466838,-461.0936875732514,13.531916342873387,2.0,-0.6308603205586887,0.0,-3.338533015411265,0.0,155.2206608912415,-1.5944784821713436,5.1772285610123285,15.331162348854448,0.0,11.542556941625651,10.272908459793864,11.026576312493264,0.0,319.72448398386155,1.062386419845556,368.1066821832976,-2.827557078794856,110.94001947323692,220.8791855746705,699.0233526961059,0.8626767767485781,31.972072504046565,6.956598027675736,0.3093073526330097,6.8765466774320485,5.1772285610123285,0.6895963135789975,-0.3196696250495393,6.935856286662787,277.1,6.8765466774320485,0.3093073526330097,9.531101770391029,41.66788659402493,31.716833456366853,30.20556469477437,-399.7365346256381,10.911540104152325,-103.78739464967464,18.19749642658521,208.472145635464,204.4642466492151,191.4715050714004,196.0875402907413,112.91,196.0121251483696,-13.145739759036454,329.5329551876308,164.1378698176594,147.36264262817906,155.1424865638258,158.2774523198631,160.71264736236745,164.50647384178032,216.4728605136532,-3.989184664836722,161.00687753492988,93.57537316210004,133.89995393670398,107.08355354267913,129.47240241629956,536.0030864197531,412.3302469135804,89.10608020300923,344.35502400548694,109.46271368200928,6694.997696835199,5955.73051114978,77.73456572733335,76.04949172513251,243.21490938600104,4.0,161.4163566455965,531.1257272981253,45.89880000000001,158.40864563864437,305.2114732066881,21.049067117702627,444.151502710813,1.0,1
1.0,-8.269224374054577,17.557975499387,-65.20212316782651,31.12965146881753,70.87143019694776,12.579831737171537,-28.65874098890072,8.78106020685584,6.267666174511348,1.406910359429339,-2.5843775228269537,-3.00352933213097,46.66509894481537,1.0,5.6972231727724045,-33.69569465749773,-13.481020354199064,1068.8897906618229,295.8242204846731,-219.67208944029107,-234.27528790621568,-51.488127432954336,83.57799200716052,154.48606204135257,18.32960936145481,147.5078756726774,86.11591078396371,-258.29003222429145,-572.5136793447732,-135.4501898691367,8.50005498892075,3.0,-0.3342253428835775,1.2738873214781985,-3.038706261462252,4.0,135.73603754660866,-1.6885185171743924,5.431524682830755,15.00563195494247,5.455296372406988,11.41652595476924,9.24548573919328,10.767164576953988,6.0,279.6569547134333,0.3375936048540336,298.1039656840805,-1.5008418254938216,97.01288648425358,192.8105770074108,363.3595184132949,0.8921709112030869,31.972072367326888,7.006259564495466,0.3019491224149505,7.139077217329494,5.431524682830755,0.6346670952203959,-1.706275065339368,4.172151735301087,134.1,10.04087121575392,0.3019491224149505,3.674160468026552,37.607751824821776,29.143117573917174,27.576191420348657,136.4703048646459,-20.17037378549476,-310.6982577812573,14.49782266660618,191.5748912737384,188.6716424524253,186.6384406135953,180.68371591551227,124.55,161.31082105884462,-9.715796845209288,465.0062072787577,165.5437532401705,147.79625288393785,156.00647074496237,160.060708868573,162.31750820474238,166.7112568091571,204.0532559721378,-2.8068066318898546,160.19839771728343,91.35552635102135,133.27872897411555,107.6522063932102,131.22051284069255,531.280864197531,424.0524691358026,87.5756854522353,370.5772462277092,295.88931985183524,5997.542803835199,5642.48205214978,72.3088135472616,65.25468177652608,229.38344962775363,4.0,161.88063119303138,264.03604845493334,47.68630000000001,165.63044838862,249.93535922095435,19.22579686315033,395.14770930851273,1.0,1
0.0,-41.234770064417766,36.045345711610906,-90.54001727475134,-13.76829650995866,48.14793977169278,10.075645290042967,-12.571162367824204,7.9899065089083185,6.217433125489598,-2.8606266794193864,-1.2362039129262876,0.7291637498058182,44.614112458924936,1.0,6.877219369774333,-39.68818179673709,-13.741940762691357,394.4450915495721,-169.42205402285572,-105.07733259873444,56.87477248485382,-367.0598750323219,76.53474880114183,-152.16590732357696,-28.28506893973747,-56.0130051206736,128.7555142731716,-80.48426882411422,-387.4421861359773,-95.44236875075036,7.898641065140845,2.0,0.438133166882001,0.0,-0.946873750871932,2.0,151.4580939375968,-5.181699978761948,5.428292866448468,12.895709441359486,5.415296372406988,11.434422780166065,10.13233578716627,11.11378734046388,3.0,310.6116377917606,0.0,343.35067703778225,-1.4935844297563077,116.51864666181004,231.4059958423161,514.3923277478632,0.8783489458296958,31.97207250936308,7.070303995098377,0.2823339920571308,7.148585621203243,5.428292866448468,0.5947221916391288,-1.977554714021614,5.818888002695128,205.11,7.148585621203243,0.2823339920571308,2.9596161175052265,41.08819923144408,32.52940114777219,30.511076900305618,-277.4807879036805,-37.38621588802149,-652.3474172265486,19.030925058469336,202.8132667096632,194.0388740767731,193.22379604594445,192.778351757082,104.32,176.14722659250486,-11.643627715667115,349.5794774564072,169.69760640107756,147.93786627854678,158.43766454419148,163.3791541461735,163.6186699062053,169.6559248510881,209.21570444402795,-2.896032006466475,160.90393907487197,98.39429973528009,141.7837525762087,117.8056852145122,145.36336494068183,548.4058641975307,452.6774691358026,91.77772408188244,460.3897462277092,217.17905016422955,6522.052618505601,6250.624692449319,82.05870312855387,76.72110091410413,240.98918561118168,4.0,162.26920612955138,894.94203378196,47.7477,169.67312178012347,284.33051610519453,20.30932257894247,367.5356994097826,1.0,1
